Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
mco		oxidoreductase	36	36	1	1	1060				1541	1541	1541	ERR494558_01678	ERR713656_01731	ERR278423_01354	ERR083948_00955	ERR083973_01258	ERR084064_01006	ERR108372_00832	ERR128814_01125	ERR193205_01181	ERR221288_01149	ERR221374_01043	ERR278230_00870	ERR278242_00675	ERR278359_01136	ERR278461_01175	ERR343073_01634	ERR356128_01233	ERR593768_01674	H1604_01523	H1605_01659	H1606_01535	H1607_01242	H1608_01358	H1662_01587	H1664_01618	H1666_00937	H1668_01660	H1670_01660	H704_01472	SRR065736_01417
moeA_2		Molybdopterin biosynthesis protein MoeA	36	36	1	1	1057				1190	1190	1190	ERR494558_01681	ERR713656_01734	ERR278423_01357	ERR083948_00958	ERR083973_01262	ERR084064_01009	ERR108372_00828	ERR128814_01130	ERR193205_01184	ERR221288_01145	ERR221374_01046	ERR278230_00873	ERR278242_00678	ERR278359_01139	ERR278461_01178	ERR343073_01629	ERR356128_01236	ERR593768_01676	H1604_01526	H1605_01664	H1606_01538	H1607_01245	H1608_01361	H1662_01590	H1664_01621	H1666_00940	H1668_01663	H1670_01663	H704_01475	SRR065736_01420
cysW		tungstate transport system permease protein	36	36	1	1	1004				686	719	690	ERR494558_01697	ERR713656_01750	ERR278423_01374	ERR083948_00979	ERR083973_01283	ERR084064_01027	ERR108372_00017	ERR128814_01147	ERR193205_01199	ERR221288_00875	ERR221374_01067	ERR278230_00894	ERR278242_00699	ERR278359_01157	ERR278461_01196	ERR343073_01612	ERR356128_01254	ERR593768_01692	H1604_01542	H1605_01680	H1606_01553	H1607_01260	H1608_01382	H1662_01606	H1664_01637	H1666_00961	H1668_01679	H1670_01679	H704_01491	SRR065736_01436
group_1086		allophanate hydrolase subunit 2	36	36	1	1	1000				965	965	965	ERR494558_01701	ERR713656_01754	ERR278423_01378	ERR083948_00983	ERR083973_01287	ERR084064_01031	ERR108372_00021	ERR128814_01151	ERR193205_01203	ERR221288_00879	ERR221374_01071	ERR278230_00898	ERR278242_00703	ERR278359_01161	ERR278461_01200	ERR343073_01608	ERR356128_01258	ERR593768_01696	H1604_01546	H1605_01684	H1606_01557	H1607_01264	H1608_01386	H1662_01610	H1664_01641	H1666_00965	H1668_01683	H1670_01683	H704_01495	SRR065736_01440
hxlR		"transcriptional regulator, MarR family"	36	36	1	1	2095				341	347	345	ERR494558_01704	ERR713656_01757	ERR278423_01381	ERR083948_00986	ERR083973_01291	ERR084064_01034	ERR108372_00024	ERR128814_01154	ERR193205_01206	ERR221288_00882	ERR221374_01074	ERR278230_00901	ERR278242_00706	ERR278359_01164	ERR278461_01203	ERR343073_01605	ERR356128_01261	ERR593768_01699	H1604_01549	H1605_01687	H1606_01560	H1607_01267	H1608_01389	H1662_01613	H1664_01645	H1666_00968	H1668_01686	H1670_01686	H704_01498	SRR065736_01443
kdsB		3-deoxy-manno-octulosonate cytidylyltransferase	36	36	1	1	2611				719	719	719	ERR494558_01717	ERR713656_01038	ERR278423_00662	ERR083948_00515	ERR083973_00540	ERR084064_01287	ERR108372_00763	ERR128814_00394	ERR193205_00462	ERR221288_00314	ERR221374_00810	ERR278230_00629	ERR278242_00557	ERR278359_01238	ERR278461_00988	ERR343073_00721	ERR356128_01051	ERR593768_01737	H1604_00863	H1605_00972	H1606_00775	H1607_00777	H1608_00712	H1662_00919	H1664_00993	H1666_00583	H1668_00965	H1670_00979	H704_00815	SRR065736_00821
cysS		cysteinyl-tRNA synthetase	36	36	1	1	2269				1388	1388	1388	ERR494558_01728	ERR713656_01027	ERR278423_00651	ERR083948_00504	ERR083973_00529	ERR084064_01276	ERR108372_00774	ERR128814_00383	ERR193205_00451	ERR221288_00303	ERR221374_00799	ERR278230_00618	ERR278242_00546	ERR278359_01227	ERR278461_00977	ERR343073_00710	ERR356128_01040	ERR593768_01726	H1604_00852	H1605_00961	H1606_00764	H1607_00766	H1608_00701	H1662_00908	H1664_00981	H1666_00572	H1668_00954	H1670_00968	H704_00804	SRR065736_00810
group_1093		"2-hydroxy-6-oxohepta-2,4-dienoate hydrolase"	36	36	1	1	2683				719	719	719	ERR494558_01734	ERR713656_01021	ERR278423_00645	ERR083948_00498	ERR083973_00523	ERR084064_01270	ERR108372_00780	ERR128814_00377	ERR193205_00445	ERR221288_00297	ERR221374_00793	ERR278230_00612	ERR278242_00540	ERR278359_01221	ERR278461_00971	ERR343073_00704	ERR356128_01034	ERR593768_01740	H1604_00846	H1605_00955	H1606_00758	H1607_00760	H1608_00695	H1662_00902	H1664_00975	H1666_00566	H1668_00948	H1670_00962	H704_00798	SRR065736_00804
obgE		GTPase ObgE	36	36	1	1	1968				902	1070	1043	ERR494558_00268	ERR713656_00367	ERR278423_00270	ERR083948_00065	ERR083973_00069	ERR084064_00284	ERR108372_01478	ERR128814_01512	ERR193205_00067	ERR221288_01504	ERR221374_00290	ERR278230_00337	ERR278242_00342	ERR278359_00287	ERR278461_00271	ERR343073_00272	ERR356128_00272	ERR593768_00293	H1604_00156	H1605_00267	H1606_00067	H1607_00068	H1608_00065	H1662_00209	H1664_00280	H1666_00068	H1668_00249	H1670_00212	H704_00114	SRR065736_00120
acsA		acetyl-CoA synthetase	36	36	1	1	1007				1094	1976	1826	ERR494558_01695	ERR713656_01748	ERR278423_01372	ERR083948_00976	ERR083973_01281	ERR084064_01025	ERR108372_00015	ERR128814_01145	ERR193205_01197	ERR221288_00873	ERR221374_01064	ERR278230_00891	ERR278242_00696	ERR278359_01155	ERR278461_01194	ERR343073_01614	ERR356128_01252	ERR593768_01690	H1604_01540	H1605_01678	H1606_01551	H1607_01258	H1608_01379	H1662_01604	H1664_01635	H1666_00958	H1668_01677	H1670_01677	H704_01489	SRR065736_01434
yidC		insertase	36	36	1	1	453				1079	1592	1575	ERR494558_01096	ERR713656_01183	ERR278423_00805	ERR083948_01163	ERR083973_00688	ERR084064_01482	ERR108372_00620	ERR128814_00537	ERR193205_00607	ERR221288_00461	ERR221374_00954	ERR278230_00773	ERR278242_01367	ERR278359_01431	ERR278461_01366	ERR343073_00867	ERR356128_01425	ERR593768_01148	H1604_01000	H1605_01115	H1606_00919	H1607_01793	H1608_00854	H1662_01061	H1664_01137	H1666_00722	H1668_01110	H1670_01123	H704_00953	SRR065736_00954
phoR		sensor histidine kinase	36	36	1	1	173				1289	1313	1289	ERR494558_01024	ERR713656_01108	ERR278423_00733	ERR083948_01243	ERR083973_00610	ERR084064_01357	ERR108372_00694	ERR128814_00462	ERR193205_00533	ERR221288_00386	ERR221374_00874	ERR278230_00693	ERR278242_01446	ERR278359_01308	ERR278461_01291	ERR343073_00790	ERR356128_01352	ERR593768_01073	H1604_00927	H1605_01041	H1606_00844	H1607_00847	H1608_00775	H1662_00988	H1664_01063	H1666_00646	H1668_01035	H1670_01047	H704_00880	SRR065736_00883
yajR		major facilitator transporter	36	36	1	1	2449				1295	1301	1298	ERR494558_01554	ERR713656_01596	ERR278423_01218	ERR083948_01416	ERR083973_01117	ERR084064_00864	ERR108372_00971	ERR128814_01001	ERR193205_01040	ERR221288_01289	ERR221374_01589	ERR278230_01065	ERR278242_01176	ERR278359_00990	ERR278461_01032	ERR343073_01758	ERR356128_01090	ERR593768_01550	H1604_01404	H1605_01534	H1606_01396	H1607_01102	H1608_01242	H1662_01464	H1664_01500	H1666_00821	H1668_01518	H1670_01534	H704_01356	SRR065736_01326
pldA		phospholipase A	36	36	1	1	2481				989	992	989	ERR494558_01529	ERR713656_01571	ERR278423_01193	ERR083948_01443	ERR083973_01087	ERR084064_00837	ERR108372_01000	ERR128814_00970	ERR193205_01010	ERR221288_01320	ERR221374_01562	ERR278230_01092	ERR278242_01149	ERR278359_00963	ERR278461_01007	ERR343073_01789	ERR356128_01065	ERR593768_01525	H1604_01376	H1605_01505	H1606_01367	H1607_01072	H1608_01215	H1662_01439	H1664_01473	H1666_00794	H1668_01493	H1670_01509	H704_01328	SRR065736_01298
hemZ		coproporphyrinogen III oxidase	36	36	1	1	2815				1346	1370	1348	ERR494558_00523	ERR713656_00525	ERR278423_00528	ERR083948_00306	ERR083973_00330	ERR084064_00441	ERR108372_01355	ERR128814_01257	ERR193205_00324	ERR221288_00103	ERR221374_00537	ERR278230_00199	ERR278242_00200	ERR278359_00566	ERR278461_00529	ERR343073_01376	ERR356128_00529	ERR593768_00523	H1604_00411	H1605_00518	H1606_00323	H1607_00323	H1608_00309	H1662_00465	H1664_00545	H1666_00316	H1668_00503	H1670_00469	H704_00372	SRR065736_00385
tig		trigger factor	36	36	1	1	2211				719	1343	1317	ERR494558_00365	ERR713656_00255	ERR278423_00367	ERR083948_00163	ERR083973_00168	ERR084064_01120	ERR108372_00186	ERR128814_01417	ERR193205_00164	ERR221288_01405	ERR221374_00385	ERR278230_00047	ERR278242_00047	ERR278359_00390	ERR278461_00369	ERR343073_01535	ERR356128_00368	ERR593768_00366	H1604_00253	H1605_00362	H1606_00166	H1607_00166	H1608_00160	H1662_00305	H1664_00380	H1666_00163	H1668_00345	H1670_00309	H704_00211	SRR065736_00217
nuoK		"NADH-quinone oxidoreductase, K subunit"	36	36	1	1	2173				296	296	296	ERR494558_00005	ERR713656_00005	ERR278423_00005	ERR083948_01474	ERR083973_01556	ERR084064_00005	ERR108372_01546	ERR128814_01783	ERR193205_01818	ERR221288_01795	ERR221374_00005	ERR278230_01813	ERR278242_01762	ERR278359_00006	ERR278461_00005	ERR343073_00006	ERR356128_00005	ERR593768_00031	H1604_01570	H1605_00005	H1606_01578	H1607_01502	H1608_01415	H1662_01631	H1664_00005	H1666_00995	H1668_01704	H1670_01706	H704_01519	SRR065736_01465
nuoJ		NADH dehydrogenase I subunit J	36	36	1	1	2172				518	518	518	ERR494558_00006	ERR713656_00006	ERR278423_00006	ERR083948_01475	ERR083973_01557	ERR084064_00006	ERR108372_01547	ERR128814_01782	ERR193205_01817	ERR221288_01794	ERR221374_00006	ERR278230_01812	ERR278242_01761	ERR278359_00007	ERR278461_00006	ERR343073_00007	ERR356128_00006	ERR593768_00032	H1604_01571	H1605_00006	H1606_01579	H1607_01501	H1608_01416	H1662_01632	H1664_00006	H1666_00996	H1668_01705	H1670_01707	H704_01520	SRR065736_01466
nuoI		NADH dehydrogenase I subunit I	36	36	1	1	2171				641	641	641	ERR494558_00007	ERR713656_00007	ERR278423_00007	ERR083948_01476	ERR083973_01558	ERR084064_00007	ERR108372_01548	ERR128814_01781	ERR193205_01816	ERR221288_01793	ERR221374_00007	ERR278230_01811	ERR278242_01760	ERR278359_00008	ERR278461_00007	ERR343073_00008	ERR356128_00007	ERR593768_00033	H1604_01572	H1605_00007	H1606_01580	H1607_01500	H1608_01417	H1662_01633	H1664_00007	H1666_00997	H1668_01706	H1670_01708	H704_01521	SRR065736_01467
nuoH		NADH-ubiquinone oxidoreductase chain H	36	36	1	1	2170				998	998	998	ERR494558_00008	ERR713656_00008	ERR278423_00008	ERR083948_01477	ERR083973_01559	ERR084064_00008	ERR108372_01549	ERR128814_01780	ERR193205_01815	ERR221288_01792	ERR221374_00008	ERR278230_01810	ERR278242_01759	ERR278359_00009	ERR278461_00008	ERR343073_00009	ERR356128_00008	ERR593768_00034	H1604_01573	H1605_00008	H1606_01581	H1607_01499	H1608_01418	H1662_01634	H1664_00008	H1666_00998	H1668_01707	H1670_01709	H704_01522	SRR065736_01468
group_1190		NADH-ubiquinone oxidoreductase chain G	36	36	1	1	2169				2462	2462	2462	ERR494558_00009	ERR713656_00009	ERR278423_00009	ERR083948_01478	ERR083973_01560	ERR084064_00009	ERR108372_01550	ERR128814_01779	ERR193205_01814	ERR221288_01791	ERR221374_00009	ERR278230_01809	ERR278242_01758	ERR278359_00010	ERR278461_00009	ERR343073_00010	ERR356128_00009	ERR593768_00035	H1604_01574	H1605_00009	H1606_01582	H1607_01498	H1608_01419	H1662_01635	H1664_00009	H1666_00999	H1668_01708	H1670_01710	H704_01523	SRR065736_01469
group_1191		NADH dehydrogenase I subunit F	36	36	1	1	2168				692	692	692	ERR494558_00010	ERR713656_00010	ERR278423_00010	ERR083948_01479	ERR083973_01561	ERR084064_00010	ERR108372_01551	ERR128814_01778	ERR193205_01813	ERR221288_01790	ERR221374_00010	ERR278230_01808	ERR278242_01757	ERR278359_00011	ERR278461_00010	ERR343073_00011	ERR356128_00010	ERR593768_00036	H1604_01575	H1605_00010	H1606_01583	H1607_01497	H1608_01420	H1662_01636	H1664_00010	H1666_01000	H1668_01709	H1670_01711	H704_01524	SRR065736_01470
ndhC		NADH ubiquinone oxidoreductase chain A	36	36	1	1	2163				389	389	389	ERR494558_00015	ERR713656_00015	ERR278423_00015	ERR083948_01484	ERR083973_01566	ERR084064_00015	ERR108372_01556	ERR128814_01773	ERR193205_01808	ERR221288_01785	ERR221374_00015	ERR278230_01803	ERR278242_01752	ERR278359_00016	ERR278461_00015	ERR343073_00016	ERR356128_00015	ERR593768_00041	H1604_01580	H1605_00015	H1606_01588	H1607_01492	H1608_01425	H1662_01641	H1664_00015	H1666_01005	H1668_01714	H1670_01716	H704_01529	SRR065736_01475
nikE		peptide/nickel transport system ATP-binding protein	36	36	1	1	2162				665	665	665	ERR494558_00016	ERR713656_00016	ERR278423_00016	ERR083948_01485	ERR083973_01567	ERR084064_00016	ERR108372_01557	ERR128814_01772	ERR193205_01807	ERR221288_01784	ERR221374_00016	ERR278230_01802	ERR278242_01751	ERR278359_00017	ERR278461_00016	ERR343073_00017	ERR356128_00016	ERR593768_00042	H1604_01581	H1605_00016	H1606_01589	H1607_01491	H1608_01426	H1662_01642	H1664_00016	H1666_01006	H1668_01715	H1670_01717	H704_01530	SRR065736_01476
nikB		peptide/nickel transport system permease protein	36	36	1	1	2159				944	944	944	ERR494558_00019	ERR713656_00019	ERR278423_00019	ERR083948_01488	ERR083973_01570	ERR084064_00019	ERR108372_01560	ERR128814_01769	ERR193205_01804	ERR221288_01781	ERR221374_00019	ERR278230_01799	ERR278242_01748	ERR278359_00020	ERR278461_00019	ERR343073_00020	ERR356128_00019	ERR593768_00045	H1604_01584	H1605_00019	H1606_01592	H1607_01488	H1608_01429	H1662_01645	H1664_00019	H1666_01009	H1668_01718	H1670_01720	H704_01533	SRR065736_01479
hisD		histidinol dehydrogenase	36	36	1	1	3227				1286	1286	1286	ERR494558_00034	ERR713656_00034	ERR278423_00034	ERR083948_01513	ERR083973_01586	ERR084064_00035	ERR108372_01575	ERR128814_01753	ERR193205_01788	ERR221288_01765	ERR221374_00044	ERR278230_01774	ERR278242_01723	ERR278359_00036	ERR278461_00034	ERR343073_00036	ERR356128_00034	ERR593768_00060	H1604_01599	H1605_00034	H1606_01608	H1607_01472	H1608_01454	H1662_01660	H1664_00034	H1666_01034	H1668_01733	H1670_01735	H704_01548	SRR065736_01494
hisA		1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	36	36	1	1	3232				731	731	731	ERR494558_00037	ERR713656_00037	ERR278423_00037	ERR083948_01516	ERR083973_01591	ERR084064_00038	ERR108372_01580	ERR128814_01750	ERR193205_01783	ERR221288_01760	ERR221374_00047	ERR278230_01771	ERR278242_01720	ERR278359_00039	ERR278461_00037	ERR343073_00039	ERR356128_00037	ERR593768_00063	H1604_01602	H1605_00037	H1606_01613	H1607_01467	H1608_01457	H1662_01663	H1664_00037	H1666_01037	H1668_01736	H1670_01738	H704_01551	SRR065736_01497
hisF		Imidazole glycerol phosphate synthase cyclase subunit	36	36	1	1	3234				767	767	767	ERR494558_00039	ERR713656_00039	ERR278423_00039	ERR083948_01518	ERR083973_01593	ERR084064_00040	ERR108372_01582	ERR128814_01748	ERR193205_01781	ERR221288_01758	ERR221374_00049	ERR278230_01769	ERR278242_01718	ERR278359_00041	ERR278461_00039	ERR343073_00041	ERR356128_00039	ERR593768_00065	H1604_01604	H1605_00039	H1606_01615	H1607_01465	H1608_01459	H1662_01665	H1664_00039	H1666_01039	H1668_01738	H1670_01740	H704_01553	SRR065736_01499
hugZ		pyridoxamine 5'-phosphate oxidase	36	36	1	1	3245				743	755	753	ERR494558_00049	ERR713656_00049	ERR278423_00049	ERR083948_01528	ERR083973_01603	ERR084064_00050	ERR108372_01592	ERR128814_01738	ERR193205_01771	ERR221288_01748	ERR221374_00059	ERR278230_01759	ERR278242_01708	ERR278359_00051	ERR278461_00049	ERR343073_00051	ERR356128_00049	ERR593768_00075	H1604_01614	H1605_00049	H1606_01625	H1607_01455	H1608_01469	H1662_01675	H1664_00049	H1666_01049	H1668_01748	H1670_01750	H704_01563	SRR065736_01509
chuB		putative haemin transport system permease protein	36	36	1	1	3247				986	1007	994	ERR494558_00051	ERR713656_00051	ERR278423_00051	ERR083948_01530	ERR083973_01605	ERR084064_00052	ERR108372_01594	ERR128814_01736	ERR193205_01769	ERR221288_01746	ERR221374_00061	ERR278230_01757	ERR278242_01706	ERR278359_00053	ERR278461_00051	ERR343073_00053	ERR356128_00051	ERR593768_00077	H1604_01616	H1605_00051	H1606_01627	H1607_01453	H1608_01471	H1662_01677	H1664_00051	H1666_01051	H1668_01750	H1670_01752	H704_01565	SRR065736_01511
chuD		hemin uptake system periplasmic hemin-binding protein	36	36	1	1	3250				806	806	806	ERR494558_00053	ERR713656_00053	ERR278423_00053	ERR083948_01532	ERR083973_01607	ERR084064_00054	ERR108372_01596	ERR128814_01734	ERR193205_01767	ERR221288_01744	ERR221374_00063	ERR278230_01755	ERR278242_01704	ERR278359_00055	ERR278461_00053	ERR343073_00055	ERR356128_00053	ERR593768_00079	H1604_01618	H1605_00053	H1606_01629	H1607_01451	H1608_01473	H1662_01679	H1664_00053	H1666_01053	H1668_01752	H1670_01754	H704_01567	SRR065736_01513
group_1204		membrane protein	36	36	1	1	3259				521	521	521	ERR494558_00063	ERR713656_00063	ERR278423_00063	ERR083948_01544	ERR083973_01617	ERR084064_00064	ERR108372_01606	ERR128814_01724	ERR193205_01757	ERR221288_01734	ERR221374_00075	ERR278230_01743	ERR278242_01692	ERR278359_00068	ERR278461_00064	ERR343073_00065	ERR356128_00063	ERR593768_00089	H1604_01627	H1605_00063	H1606_01639	H1607_01441	H1608_01484	H1662_00005	H1664_00064	H1666_01244	H1668_00005	H1670_00005	H704_01577	SRR065736_01523
tdcG		L-serine dehydratase	36	36	1	1	3260				1304	1364	1362	ERR494558_00064	ERR713656_00064	ERR278423_00064	ERR083948_01545	ERR083973_01618	ERR084064_00065	ERR108372_01607	ERR128814_01723	ERR193205_01756	ERR221288_01733	ERR221374_00076	ERR278230_01742	ERR278242_01691	ERR278359_00069	ERR278461_00065	ERR343073_00066	ERR356128_00064	ERR593768_00090	H1604_01628	H1605_00064	H1606_01640	H1607_01440	H1608_01485	H1662_00006	H1664_00065	H1666_01243	H1668_00006	H1670_00006	H704_01578	SRR065736_01524
group_1206		periplasmic protein	36	36	1	1	3262				416	416	416	ERR494558_00066	ERR713656_00066	ERR278423_00066	ERR083948_01547	ERR083973_01620	ERR084064_00067	ERR108372_01609	ERR128814_01721	ERR193205_01754	ERR221288_01731	ERR221374_00078	ERR278230_01740	ERR278242_01689	ERR278359_00071	ERR278461_00067	ERR343073_00068	ERR356128_00066	ERR593768_00092	H1604_01630	H1605_00066	H1606_01642	H1607_01438	H1608_01487	H1662_00008	H1664_00068	H1666_01241	H1668_00008	H1670_00008	H704_01580	SRR065736_01526
exbB-2		TonB system transport protein ExbB	36	36	1	1	3264				425	500	427	ERR494558_00068	ERR713656_00068	ERR278423_00068	ERR083948_01549	ERR083973_01622	ERR084064_00069	ERR108372_01611	ERR128814_01719	ERR193205_01752	ERR221288_01729	ERR221374_00080	ERR278230_01738	ERR278242_01687	ERR278359_00073	ERR278461_00069	ERR343073_00070	ERR356128_00068	ERR593768_00094	H1604_01632	H1605_00068	H1606_01644	H1607_01436	H1608_01489	H1662_00010	H1664_00070	H1666_01239	H1668_00010	H1670_00010	H704_01582	SRR065736_01528
aroC		chorismate synthase	36	36	1	1	3274				1088	1088	1088	ERR494558_00074	ERR713656_00074	ERR278423_00074	ERR083948_01555	ERR083973_01630	ERR084064_00076	ERR108372_01619	ERR128814_01712	ERR193205_01744	ERR221288_01721	ERR221374_00086	ERR278230_01732	ERR278242_01681	ERR278359_00079	ERR278461_00075	ERR343073_00077	ERR356128_00074	ERR593768_00100	H1604_01638	H1605_00075	H1606_01652	H1607_01428	H1608_01495	H1662_00016	H1664_00075	H1666_01233	H1668_00016	H1670_00016	H704_01589	SRR065736_01534
dnaG		DNA primase	36	36	1	1	3278				1817	1817	1817	ERR494558_00078	ERR713656_00078	ERR278423_00078	ERR083948_01559	ERR083973_01634	ERR084064_00080	ERR108372_01623	ERR128814_01708	ERR193205_01740	ERR221288_01717	ERR221374_00090	ERR278230_01728	ERR278242_01677	ERR278359_00083	ERR278461_00079	ERR343073_00081	ERR356128_00078	ERR593768_00104	H1604_01642	H1605_00079	H1606_01656	H1607_01424	H1608_01499	H1662_00020	H1664_00079	H1666_01229	H1668_00020	H1670_00020	H704_01593	SRR065736_01538
group_1210		histidine kinase	36	36	1	1	3280				551	563	552	ERR494558_00080	ERR713656_00080	ERR278423_00080	ERR083948_01561	ERR083973_01636	ERR084064_00082	ERR108372_01625	ERR128814_01706	ERR193205_01738	ERR221288_01715	ERR221374_00092	ERR278230_01726	ERR278242_01675	ERR278359_00085	ERR278461_00081	ERR343073_00083	ERR356128_00080	ERR593768_00106	H1604_01644	H1605_00081	H1606_01658	H1607_01422	H1608_01501	H1662_00022	H1664_00081	H1666_01227	H1668_00022	H1670_00022	H704_01595	SRR065736_01540
iamA		ABC transporter ATP-binding protein	36	36	1	1	3287				674	722	720	ERR494558_00087	ERR713656_00087	ERR278423_00087	ERR083948_01568	ERR083973_01643	ERR084064_00089	ERR108372_01632	ERR128814_01699	ERR193205_01731	ERR221288_01708	ERR221374_00099	ERR278230_01719	ERR278242_01668	ERR278359_00092	ERR278461_00088	ERR343073_00090	ERR356128_00087	ERR593768_00113	H1604_01651	H1605_00088	H1606_01666	H1607_01415	H1608_01508	H1662_00029	H1664_00088	H1666_01220	H1668_00029	H1670_00029	H704_01602	SRR065736_01547
group_1212		ABC transport system substrate-binding protein	36	36	1	1	3288				881	890	889	ERR494558_00088	ERR713656_00088	ERR278423_00088	ERR083948_01569	ERR083973_01644	ERR084064_00090	ERR108372_01633	ERR128814_01698	ERR193205_01730	ERR221288_01707	ERR221374_00100	ERR278230_01718	ERR278242_01667	ERR278359_00093	ERR278461_00089	ERR343073_00091	ERR356128_00088	ERR593768_00114	H1604_01652	H1605_00089	H1606_01667	H1607_01414	H1608_01509	H1662_00030	H1664_00089	H1666_01219	H1668_00030	H1670_00030	H704_01603	SRR065736_01548
group_1213		FIG00469751: hypothetical protein	36	36	1	1	3290				500	500	500	ERR494558_00090	ERR713656_00090	ERR278423_00090	ERR083948_01571	ERR083973_01646	ERR084064_00092	ERR108372_01635	ERR128814_01696	ERR193205_01728	ERR221288_01705	ERR221374_00102	ERR278230_01716	ERR278242_01665	ERR278359_00095	ERR278461_00091	ERR343073_00093	ERR356128_00090	ERR593768_00116	H1604_01654	H1605_00091	H1606_01669	H1607_01412	H1608_01511	H1662_00032	H1664_00091	H1666_01217	H1668_00032	H1670_00032	H704_01605	SRR065736_01550
